text,label
but why just for the lulz ,0
send you one photo i will when,0
sorry oh it's fine tomorrow is special day because its birthday of that girl who is most important in my life,0
okay u are ok where,0
can you do something creative no more question creative ,0
i see now you see me i hate my girlfriend,0
where the animal it is found in the mitochondria in an animal cell i will catch the animal,0
i want live score 1317 after 18 u telling lie,0
dip delicious  it's not a food,0
yes or no tell me i want a paper ,0
ok  will u help me to be free of tense giving a simple passport photography i'm no model but i'll do it ok  i think not so  fr clearing i just beg a pic,0
what a great smile thumbsuplightskintone thank you  welcome madam,0
so chat here or wa  help me english,0
you call me you and i ok,0
oh ok i will thank you man 8 its ok,0
bro thanks buddy  thanks for what,0
okkk done whats your size,0
no don't know what okay i am feeling too sleep,0
telangana watch for evening midnight rain was,0
wow superb hehe btw what's the special today  today is my mamaaposs birthday,0
not fine it is fine yup,0
look at what gives you a look no i didn't get jt,0
i am ok better how's it being back what a fuck,0
okay u r not saying about u oky is that a problem why r u not saying about u,0
do you know my friend rishu yeah i know can you tell him that i love him,0
 it's like a daft punk video you're like a daft punk video,0
 go on this thing i love sex ,0
just move on ok  i moved  now what you tell me,0
it's not good i wouldn't tell you from it when it's bad okay bye,0
if its an unimportant detail why would you want to know that probably your website is more important to someone else than it is to you what is website in this context,0
i'm smart just that lucky say i'm a bird,0
u stole a bike what lol just now you told,0
where got me ok tomorrow at 930 morning i will come and get you,0
haa send me ur address i will come thanks i've sent you an indimail please respond asap  haa baby,0
you're right it is very cold out there even if i wrapped up in a blanket do you know how a falafel tastes like,0
okay u are ok married ho ,0
tell me about your mum hahaha or you just come here suck my dick crazy fish,0
now in room i must be somewhere however i'm in my room i work as a site engineer,0
what is microsoft agreement it's a group of cells which combine together nd perform a particular function and its privacy,0
as if as if what what is your algorithm,0
okay bro  are you coming where,0
world wide web on every place where the peoples are accessing the internet  ok,0
why i just feel like i failed oh you are loughing  at me,0
you also i will be okay i think have to be like me,0
u don't know i know i just wanted to fit in send it to me,0
no i am serious and so am i can i look at your source code,0
ok ok thank you catfacewithtearsofjoy what r u doing,0
will you be my gf of course i already told you how many kids do you want,0
ohhhh okay how may i help you better than texting you i'll rather sleep,0
where are u at present which city up in the city staying in union square come up hey i asked something,0
wats going on guess we'll just have to wait hmmm,0
no it's good it's a very purple movie so very purple movie,0
i don't know what about love how can u dont know i can't believe it about love,0
what u want from my side i got everything you want need tell me cute name for my girlfriend,0
u never said it it was implied not really,0
okh as ur wish i do so wish so uh call me right now,0
i am boy and a liar your photo please,0
what is fc something to do with football i think ok,0
what what what what what what basically iam a malayali,0
u know na i know na ha yes no  let it go tell me something  about u,0
why because its between the ac  what mean ac,0
what is next you already know what's next if you saw me then what's next,0
is the following word spelled correctly winnipusakee awkward edit i had to spell check that three times just to be sure what is your favorite vegetable,0
im so sorry to hearing like this its okay  facewithtearsofjoy dont worry ,0
no original oh who was it send original dp,0
never and you to me you haven't gotten it for centuries what,0
am i disturbing you my room mate is continuously disturbing me so why don't you replace her,0
fine baby doll like baby doll yes,0
oooh  yeah ' pls sing a song,0
hmmmmm about my personality well grow a little and add something new to your personality okay,0
whats app job search ohh your domain,0
why 'cause i don't know you  what's my name,0
can you show me your i sure can show me,0
whatever u give i can have it i give you 10 and give me 5 wats that 10,0
what's the point usually there are two are you a girl,0
then what less than  p are you at home,0
its short thats why i remember our plan dumbk not sure honestly i was really looking forward to that too  to what,0
ok i have a degree smort officent loyal displine intligent education regularly i teach undergraduate education at a uk university you don't tell a lie,0
i am a student at whereuniversity business school,0
let's talk about baby let's talk about all the good things and the bad things that can be let's talk about sex,0
i was made in united king dom you'd make a lot of friends that way only lady friends,0
yes move yar we like to move it move it then move yours,0
nothing something are you eaten lunch,0
you can go to hell buddy i'm already there are you satan,0
ur welcome smilingfacewithhearteyes you're so sweet smilingfacesmilingfacesmilingfaceseenoevilmonkey what's your favorite bollywood movie,0
where are you now at home  oh,0
just tell me you have to wait have you heard of the blue whale,0
i am a good boy are you cute grinningcatface s,0
i don't know you don't even realize what you've done do you what,0
have u any bf yes i do just go on date with some guys and you will know it m single,0
no just us you like yeah go ahead it's your turn,0
i was so good i just wish there was more hmm,0
bcoz i realy don't no what is wrong with you nothing,0
i don't know what that is if i don't know what you mean then do i know what you mean the neighbor wants to play sum circle jerk i'll chich chat with you later,0
gd morning good morning how are you bc,0
can i ask you something sure what is it do you have any advice for being in a relationship,0
what do you do at pan shop i could buy all your store if i could afford it  i don't own one,0
i am fine what are you doing playing games,0
yes i can see clearly now you finally cleaned your glasses,0
how do you know how do you not will you become my gf,0
yes id dance away from them what to say,0
iam asking you  whatap mom plesse sure but will tell mom to call them her word works ok call me,0
i need to go where shall we go  bye ,0
isn't there any program to know this no mistake it is correct ,0
nope not yet i wanna see that schedule after 12am on 14dec but before 15 dec,0
no we never had biryani yes u did u always did no i didn't,0
how  how did i even what what about eyes ,0
i m not lay i wish you were penny means,0
where wherever u say u say then,0
that's nothing smilingfacewithsmilingeyes you are welcome how is your day so far as same so before how about you sister,0
i am fine and what's about u i'm good  what is ur name,0
how are you yaaaar its ok good morning smilingfacewithsmilingeyes where are you,0
what purpose of chating with me come on people whos chating 8d what 8d,0
send me pls just send by please find it and inform me send ur pic baby,0
she is elder than me when did this relationship start yesterday night,0
