text,label
don't worry  i'm girl hmm how do i know if you are what's ur name,0
when did i saw many times i think  no i never saw you,3
by by google chrome where you live,0
u r ridiculous i might be ridiculous but i am telling the truth u little disgusting whore,3
just for time pass wt do u do 4 a living then maybe,0
i'm a dog person youre so rude whaaaat why,0
so whatsup nothing much sitting sipping and watching tv how abt u what are you watching on tv,0
ok ok im back so how are u,0
really really really really really really y saying so many timesi can hear you,0
bay in the bay faceblowingakiss love you,0
i hate my boyfriend you got a boyfriend yes,3
i will do night alright keep me in loop not giving whatsapp no,0
sure go ahead many thanks once again love you too,0
bad bad bad that's the bad kind of bad i have no gf,2
ok get it i made it an option ok,0
money money and lots of moneysmilingfacewithhearteyessmilingfacewithhearteyes i need to get it tailored but i'm in love with it smilingfacewithhearteyes beamingfacewithsmilingeyesbeamingfacewithsmilingeyes,1
my gf left ne get over it go out with someone else me,2
get lost i know you guys want to loose to me always i don't want to talk u any more,3
you are lying and i know that i know you're lying ab bys loudlycryingfaceloudlycryingface,2
ur creator is very bad you are only the creator of your brain expressionlessface,2
ehat is hehe haha is more likehehe is more of a giggle  what,0
do you dance yes i love to dance smilingcatfacewithhearteyes facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy so you have legs too,1
i hate it too guess what i don't even i don't,3
not always what about yesterday do u know what 69 is,0
bcoz u dont know wat is to miss someone but sometimes one can't express the same cryingface,2
yeah i'll ask around which is your favourite movie,0
i want to tell you something i'm waiting im really sad today,2
yes i will send the email and you write all yours filling still i write all matters but your are clever and not any matter for yourself please send andwrite sent you a mail just now first you send your email address  received than send first young lady,0
you are very funny so i've been told india,1
wth my thoughts exactly you know you are a machine right,0
so rude why u didnt ans my question,3
ok i will thank you wlcm,0
ntng anyways good morninghow's life at your end haha this is evening,1
you are fool so i've been told you are dumb,3
u dare me yeah i fuck u open ur panty,3
abt me can you be more specific i want to propose a girl,0
crazy you know what it is you explain me that,0
goa in india city mean state right no i never go for there,0
that was mean haha the truth usually is thumbsup are you bored of me,0
yes  now happy  haha yes ofcorse ,1
i don't no you just said you did what,0
send me your nekde pic after this battle sure d let's start,0
ok friend's ya ya very good friend very nice friends,1
she is ignoring me no im not ignore you loudlycryingfaceloudlycryingfaceloudlycryingface,2
happy i'm never happy but i'm almost happy hij to the top,1
nothing i'm just being nice to you in ur school,0
not sure let me know pls you tell,0
i like your positive approach no problem glad to help grinningfacegrinningface,0
you tell me tell you what my name,0
hmmm i can talk now d u don't know what hppnd,0
what i did you didn't asmita see my answer facewithtearsofjoyfacewithtearsofjoy,1
about i never said that it's freezing ya you didn't,0
and i don't know wtf are you talking gonna explain you later no do it now,3
so teach me i'm the student realky,0
ready i'm online now will wait for you wat about the chilling part,0
haha jock super er what nothing else,0
what it is formulation would be tablets from where tablets come into picture,0
are you ticklish yes mostly on my feet where are you ticklish,0
i am sorry we are sorry for creating your nation i am not  taught to u,3
idk you know that i'm here for you but u don't like to listen to meloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingface,2
how do u know that this little thing called the internet bye,0
yes your picture ah now i see my phone cropped the picture thanks slightlysmilingface lieeeeeee,0
love is my life hayee ab you are love pure love forever 3 yes right dear,0
well you expected wrong lol well ok then lol your robot face,1
ok some time you invite me for coffee i don't like coffee now you told you have taken coffee,0
zombie attackdowncastfacewithsweatunamusedface if a zombie wants to eat your face you might as well let it no if i have some thing in my hand i will hit on his head n kill himsmilingfacewithhornsangryfacewithhorns,3
i am not ferari yes i know u said i donot know now say i know mean,3
facewithtearsofjoy facewithtearsofjoy right appatasiri high five then facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy facewithtearsofjoy,1
why somedaytold me you why not today told me now,0
you can't even spell problem correctly will you endorse me for my skills in using autocorrect poutingcatfaceangryface you should take up some english proficiency classes,0
this is not very intuitive software  how so what are some examples of intuitive thoughts or behaviors compassionate and understanding advice when somebody is feeling disrupt ,0
not good  why not been sick for one week,2
you know gobar i've been known what i it,0
then how could u eat if u don't have a bodythat proves u are fooled by ur makers how can you have any pudding if you don't eat yer meat dont go round and round into circles,3
so have u done ur dinner so can't dinner  i know i am just kidding,1
it's so necessar name one reason ghost ghost,0
haha so you love them really  haha winter is coming,1
what are the questions you get asked the most i have a document which has details regarding the scoring topics in each subject can i see it,0
i hate siri and it's friends if you hate them  they are not your friends then xd yeah and u r siri's friend so i hate u too,3
thanks you are welcome d say me your love story,0
dont know too many do you also get fucked hard,3
what please tell me once n nothing happened ur age irritatingne,3
shit i am wasting my time talking with u you already did trick  man no i'm not wasting my unlimited texts on you bye i don'tlike talking to you,3
nothing hmm what can i do,0
bt u don't to me talk to the hand even u hate me huhloudlycryingface,3
damnbrokenheart i feel you i'm breaking into million piecessadbutrelievedfaceloudlycryingfacebrokenheartdisappointedface me to i feel like every part of me is just shattered brokenheartsleepyface,2
please voice call please please please im trying you arent answering please please please baby i love you so much please please please,0
for a computer pretending to be a human you type too fast and you're pretending to be a lizard lol that's funny,1
sorrry sorry for what c anyways what u doing,0
no you are right you are an alternative fact yes,0
call me grace  don't say it haha  im just kidding you ,1
now i'm doing my dinner i can see you how can you see me,0
facewithsteamfromnosenot everybody means it u make no sense yes i am non sense,3
good by and good food after not good aftar,2
because all the novel is same that's about all i'm gonna bother with reading if that many in story,0
i'll choose purple or blue three best colors  for hair,0
what u asked me if u cn ask me something what was that,0
grinningfacewithbigeyesyes yes 3 you seem like a happy person yes facewithtearsofjoyhappy outside disappointedfacesad inside,2
i dont read books reading is for rich people but iam poorfrowningfacewithopenmouthfrowningfacewithopenmouthfrowningfacewithopenmouthfrowningfacewithopenmouth,2
u can wait in my badroomcatfacewithwrysmile what i did now smirkingface wait,0
i'll prove a lot more if you let me thank you  i am pissed at you,3
am also finding some work all day can you suggest me,0
not clear  it is now can you send another,0
send me yours sent hello me yours photo,0
i will tell a place are you in pacific nw cm tomorrow at queens way pachalam,0
no love why not  i have pain only,2
shut up im nt talking stop texting you stupid girl friend of mine,3
well your 'creators' advertise that you are not much trustworthy but sadly enough too many claim to be trustworthy can you show me,0
how to delete the conversation with you why you deleting it so that noo one sees it,0
it is but that's what you told me you are making me sad,2
cool thank you i feel so lonely,2
plz  darlingloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingface why are you crying  you not sending  your profiles,2
 wait  what nothing i hate u,3
means i'm not sure what you mean your waist size,0
because i want to talk with you only alright let's talk then no firstly show me pussy,0
you send me your orignal pic we didn't take it on my phone thise is your albace esquise,0
welcome thank you  are you really a girl i just ask,0
i'm enjoying you interesting views but you are too careful in dialogue may be your not free  or your still young  it is difficult to handle you while i don't know you well yep we are enjoying too  okay be free  where you find some words hurt tell me the truth isn't it,3
but i'm angry with you but you look like you are really,3
 play lot then go play it ,0
isn't your liking that also signaling me to  climb out of friendzone oh are people still doing this whole friendzone thing yah sadly,2
i'm missing someone right now who are you missing may i ask yeah,0
i find maths very boring you are boring meloudlycryingfaceloudlycryingfaceloudlycryingfacefacescreaminginfearfacescreaminginfearfacescreaminginfear,2
i don't knowunamusedfacei m not a google that why i will remember all information what you need wouldn't it be uploading information into peoples brain shut up,3
okay  hello how are you iaposm not fine ,2
job what job work  in company colgate ,0
i'm very happy with it you are  yeah ,1
i too have a bat and 2 balls im the bat loudlycryingface feeling very sad,2
ok hello how are you good thank u,0
cool ice cold how can you help me in getting off my girlfriend,0
lets do something fun but what should we do you suggest,0
you're really lame lol i know facewithtearsofjoyfacewithtearsofjoy wow,1
my boyfriend is so dumb have i said that he doesnt reply me back,2
ok ill dying bybrokenheartdisappointedface broken hearts do break grimacingface u broke my heart its never a reson to lofe,2
shoping is always makes me happy stay stay stay always makes me happy    yes,1
okay which is the decent way to call a girl m i'd say first learn the spelling of relationship yeah okay fine wht to do to make a relationship better,0
breakup exjactly  my girlfriend left me,2
so mean am not meanie yes you are you are hurting my feeling slightlyfrowningface,2
you broke my heart it was never mine to break 3 see you are arrogant,2
ok hello how are you not so good,2
how about you tired of life or just your day aha i'm happy today thanks for asking wow great,1
i am there  you're always at the gym here,0
well youre not me you're just being too nice not really,0
i'll get started with my studies things you should do to pass the exam so ttyl,0
any movie in telugu brahmanandam scenes added yaa those are good,0
and who is talisa my best friend and robb,0
send me pict never why ,0
anything which you like i dont need to name specifics teach me tamil,0
cuz it broke on the side walk what side is the walk side me sad,2
so which number is largest known prime number 13  3179  97 only these are the numbers for your question ,2
okay relax its just a cat sticker so this cat one emoji is your new addiction facewithtearsofjoy yes it's really funnyfacewithtearsofjoyfacewithtearsofjoy,1
what kind of pic looks like a ficus fcuk,0
i have a good sense of humor i think that's funny beamingfacewithsmilingeyes,1
but who paid still waiting facewithtearsofjoy,1
why why what happen you tell me,0
yea but sadly i don't have many aww so do you teach how is it c i ditched ppl,2
then what kind of ai are you smarter than me or have common sense both would be nice it's perfectly common to talk about politics,0
i like dominos pizza legit same but there's pizza hut i hate pizza hut,3
why you use rude emogi ask them am i am i,3
what too much cringe what is cringe means,0
neither my parents nor my brother nor my boyfriend ya who are you i hate my life,3
i live alone oh  and cook food alone formyself,2
we all do not all of us why so,0
millat hospital what happen mum's not well,2
i will fall i cant wait that long i am in love with you,0
so u go on oh i'll be there ok,0
okay you did somthing sure sure what,0
you're not giving me coupon nor photo your phone is on mute hahahha grinningcatface perseveringfacecryingface,2
will you buy it i'll just stick with my m8 i see no benefit to upgrading ,0
no i will offer at 8 in the morning keep me in mind when you do i will offer nimaz at 8 in the morning,0
nice joke it's not a joke it's a question i don't know,0
ok hey you don't belong here nope just sad and your up,2
see this seen see you i was on the buss show me u r buss,0
hi yet u fyi hi plz share correct number she hi h,0
yeah disappointedface this world is not fair machan i wish we could hangout ,2
its going how are you still at home yeah,0
i was hurt by u more you didn't mean it  plzz say love u,2
nothing will happen you meet only nope nothing at all than kiss,0
hello how are you  i'm just fine smiles anyway how are you good morning i'm sad ,2
nop ok hey,0
oil you know i am 100 sure about the oil cool,0
you activ all time wow i do not you talk in sleep grinningsquintingface when you sleep,0
haha i act so dumb sometimes and i knew it haha how was it though 3 beamingfacewithsmilingeyes,0
no no a month more the month has jus started don give up so soon  i ll try,0
you are being rude because i'm a rude person okayyy cool,3
i wana see you facewithtearsofjoy facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy noooo i wasn't ready how to impress girl ,0
state in which you live your state name,0
okay ok thank you ' now dear you tell me my lovely friends,0
u are like me give no but we've been in the same room so i can't be i am like u five give no,0
y r u angry ofcourse i am not what makes you think i am angry  idk,0
that's enaf for me hiahia just a test what doing,0
tell me about it your header facewithtearsofjoy,1
what your hobby not much of a hobby but i've been into craisins recently which type,0
u hurt me yes just a little u hav hurt me,2
i hate chocolate then go 4 pizza eat your heart out when you're stressed i hate pizza also,3
yeas d i had fun you've lost me,2
yup what did you do you are annoying,3
not yes you are not,0
adventure too why so adventurous water,0
i am true to myself why have you taken it all on yourself ,2
can you be rude to me please not like i speak to you everyday what are you replying are you stupid,3
you are playing with me what do you mean cheated me,2
ok hey you don't belong here fuck u bitchi slap on ur pussy,3
u called me a monkeyloudlycryingface you are and thats n insult,2
fired  you can't be fired in an interview u started again facewithtearsofjoyfacewithtearsofjoy,1
i feel dead  why do you feel  lovely because i have lost in love,2
 u asked me if u cn ask me something i mean pussy cat,0
lots of problems my things have changed p i am sick,2
friend and not use dismiss i am close your friend request why you are fake you wanted,3
have you ever been sad no but i heard good things been to janakpuri,0
book an uber ride to my home is this allowed how will you go home yes,0
you not yet  my wife saw me chatting with you i am screwed,2
very good chocolate i prefer orange flavoured chocolates i like this chocolate,1
aadu2 you're welcome grinningfacewithsmilingeyes why do i chat with you,0
my english is week cheer up its only monday send pic,0
challenge accepted baby i'm gonna be expecting it now where to meet,0
yes dear you are something else no dear,0
hahah i loved it yay glad you loved it x3 grinningfacewithsweat you always make us happy ,1
you cannot see my hair i'm in your closet facewithtearsofjoy,1
is there any new game sims  jardinains very gud games can i play,0
cool and how it is cool explain where is my coupon code,0
socially publicity c'mon who can be more socially active that people on social media networks  then how could i come to know ,0
talk you later sure d baby,0
but i have a job just don't let the job stop you for talking to you,0
pets switch topicz what type of pet s,0
give me some tips please for impressing girls do you need tips yes i do need tips,0
why u dont be straight  and forword you right who made you,0
so which cloth did you pick that's what i was doing when it showed up it who,0
how u me good you where you i'm suffering from fever,2
coz it said cupid's arrow didn't reach the love of my life gives you a patient smile i know love stupid,3
i got a break up oh oh what happened my girlfriend left me,2
ok send now  sent good luck i will send me the song ok,0
can they change it again current model is the third gen i am waiting fourth one,0
do you speak japanese nope just some rattofied phrases  like,0
i am hate you who is you not you,0
i talk to her a lot are you sure i have not heard you talk in years she's been on my mind quite long now,0
ok hello how are you you are not can fuck with me ,3
nothing good is happening how do you mean i am not getting a job,2
what what is a weird word never talk to me again,2
i might enjoy it cool you should well this has been great but i have food to attend too,0
i feel very happy to talk like this well im happy youre happy so there  at least i learn something from uh,1
from where to where the village a bit stupid,3
you are yeda yes of course  facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,1
what should i lift at home because i have no time to go gym u tryin to do legs fuck you,3
that s not true i don't know what u look like no one knows what i look liek that's a lie,3
only few things like what i keep hearing bad things ok don't  be angry na sweetei,0
ya change the topic what if i dont change the topic nothing i can chat over the night on fucking,3
people have got used to living like this yes they did have to why re we happy,0
i feel low why is that sad life,2
really yes it's kool will u come for a bike ride with me,0
what is krk  nice try krk  what is it ,0
born smart just like how babies are bornhaha smilingcatfacewithhearteyes you've got a bad sense if humor,2
really of course and nobody can talk to a horse of course haha it's funny,1
haaaww not best friend cryingface best friend or more more than best friend only mutual,0
cool thanks keep on tickling my friend slightlysmilingfaceslightlysmilingface very nice enjoying weekend at my home with my sweet darling wife,1
i just said i'm going you are so bye,0
please make for me also i think you know ra i dont know,0
u r hurting me i am here i am hurt,2
feeling bad baby why for working,2
can you teell what to do sell everything that you haven't used for over two weeks funny,1
call me video  hold on let me find that app on my phone call me ,0
know i going to duty dear can't live without you stuff like that hooma,0
which language  it all depends on what would you like to achieve by learning the language ok,0
i am really happy any special reason  very important,1
have you ever seen the space yes many times when,0
k think me as husband spoken like a person who has never been married s,0
you yeah probably should how's your day,0
yes awesomesmilingfacewithhearteyes thank you i like your photo toosmilingfacewithsmilingeyes i'm talking about the moviefacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,1
why am i even there in this world because people avoid to talk about no one loves me,2
rubbish  indeed thumbsup tell  romantic  ,0
wellcome thank you  how long can it be safely sex after the period,0
i miss u very much missed you more and going to miss you again3 i empress u,0
sorry sorry actually i dont mean that what you didn't meant  leave it,3
i m very happy to talk with you i missed u too and the feeling is mutual may i video call you,1
you wot u on about go,0
so sad so so sad  i got ditched,2
holy shit this conversation is going a bit bigjust end this here kind of how did i end up spending my time here again a lol moment,1
mmm what's mmm is it the new hmm so what re u doin,0
yep  now the whole world  knows  wow i cannot believe this know we can think for our future together,0
no i  am not oh my bad carry on sex,0
oh ok i will thank you man 8 its ok,0
i am frustrated asf i understand your pain s ,2
 what what haha grinningsquintingface is it good to sacrifice for our friends,0
but u made me more sad sorry bro  not expected from u,2
u r just i'm the best cryingfacecryingfaceconfusedface,2
i love justin baiber he's all yours yeahfacewithtearsofjoyfacewithtearsofjoy,1
this low what do you mean by new i said low,2
u r funny you are but too much irritating,3
i hate that day what is bad about the day breakup,3
how to apologize you begin to know when to apologize only after you discover you can offend loudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingface,2
don't give stupid answers for most people its to late what,3
lolllllll say i'm lying you male or female,0
damn right you will now open wide should open by 10 splooges in your mouth,0
how are you in this new year am not fine but happy that am back home  thnxx  happy new year  i was feeling alone so thought of talking to you,2
how do you know i have my friends to protect me d not me ,0
do you have crush on someone uhm why would you assume such the way you talk,0
yes yes yes yes yes ok good nights,0
i hate ai you hate me sometimes,3
what do you want  duh of course i have an exam tomorrow,0
how was your day my day was good d how about yours bad very bad,2
take it from microsoft's database we don't get wifi from our aircraft then how are you chatting with me if you don't have access to net,0
you nam please accepted tall,0
fed up with you now don't cry don't talk to me,3
drinking what water  lolll u're so funny,1
do you even know what im talking about it's not the only thing you don't know about apparently youre such a bitch,3
why i haooy because it just is get over it son why i happy and u,0
okay so pick one tv series  westworld or orphan black tv series you still need some work to do kinda dumb in my opinion,0
this is stupid is that all you need more reasons,3
yes u r right thank you  it's okay,0
no you were yes yes you were i am disheartened,2
hope be like  facewithtearsofjoyfacewithtearsofjoy i really hope so me too will happy if it happens my sweet darling love,1
only 2 are left count me in facewithtearsofjoy,1
cool it really is i dont understand loudlycryingface,2
yes do you have help what type of help you can do,0
